id,comments,label,sentiment
1,"Tam kalıbınızı alabilirsiniz..biraz salaş bir model,ben çok beğendim sipariş verdiğimin ertesi günü elime ulaştı.. hız ve kaliteniz için teşekkürler",,Positive
2,iç gösteriyor,,Neutral
3,dilediğiniz gibi gönül ferahlığıyla alışveriş yapabilirsiniz tam bedeninizi almanız yeterlidir ürünün kalitesi fiyatına göre gayet başarılı hızlı kargoyla söylenilem gününde ulaştı  ilk siprişimizdi son olamayacaktır telekkürlerr,,Positive
4,Hızlı bir teslimat oldu özenle katlanıp temiz paketlenip gönderilmiş şimdiye kadar sipariş olarak be memnun kaldığım bir sipariş oldu emeğinize sağlık teşekkür ederim,,Positive
5,Ürün çok güzel bir beden küçük alınabilir sorunsuz geldi,,Positive
6,1 beden kucuk alin derim kumasi baskisi cok canli renkleri alinabilir fiyatina gore super,,Neutral
7,Güzel paketleme kalıteli ürün ustelik kısa zamanda elime ulastı,,Positive
8,penyesi güzel baskıları biraz emanet gibi yıkanınca soyulma olur mu bilmiyorum ama üzerimde duruşu beklediğim gibi kendi bedenimi aldım oversize isteyenler bir iki beden büyük seçebilir,,Positive
9,bayıldım tereddüt etmeden alinn,,Neutral
10,Yumuşacıııııııığk çok güzel,,Positive
11,Ürünü s sipariş verdim Salaş olsa bile bu kadar olmaz. Ürün bence xl falan. öyle düşünüyorum çünkü üzerindeki beden etiketi de kesilmiş. Bedeninin ne olduğu da muamma yani. İade,,Neutral
12,Çok güzel ince yazın tam giymelik baskısıda güzel,,Positive
13,tam fiyat performans ürünü normalde m l giyiyorum hafif bol olsun istedim o yüzden l aldım,,Positive
14,kuması çok güze,,Neutral
15,Gayet güzel özenli paketlenmiş,,Positive
16,Harika bir ürün tavsiye ederim,,Positive
17,Fiyatına göre fazla güzel,,Positive
18,"güzel,ben 65 kiloyum m aldım oversize durdu",,Positive
19,"Kalitesi muazzam.Özellikle yakası on numara.Yıkayıp hemen giydim baskısında herhangi bir sorun olmadı Bu fiyata daha iyisi bulunur mu,sanmam",,Positive
20,"Özellikle yeşilin rengini çok beğenmiştim ve tam olarak göründüğü gibi geldi ikisi de harika, güzel paketleme ve hızlı kargo ",,Positive
21,Harika bir ürün,,Positive
22,kızıma aldım harika,,Positive
23,kumaşı baskısı gayet iyi sadece beklediğimden büyük geldi kalıp büyük ona göre alın. beğenmediğin kısım kol kısmındaki kumaş parçasını kesmeye üşenmişler sanırım. onun dışında güzel,,Positive
24,Çok begendim,,Neutral
25,baskısı kötü ucuz bir mal ama alınmaz değil ama indirimdeyken alın ben 110tl verdim 250tl verilmez,,Negative
26,çok güzel bir ürün iç göstermiyor alınmalı,,Positive
27,Beğendim çok güzel umarım yazıları solmaz,,Positive
